country,economic_status,coastal_population,waste_generation_rate_kg_person_day,_plastic_in_waste_stream,_inadequately_managed_waste,_littered_waste,waste_generation_kg_day,plastic_waste_generation_kg_day,inadequately_managed_plastic_waste_kg_day,plastic_waste_littered__kg_day,mismanaged_plastic_waste_kg_person_day,mismanaged_plastic_waste_in___tonnes
algeria,UMI,2.869164817721716,1.2,11.95,58.06944790000001,2.0,2.879457736658652,2.752397318061768,2.717118758767796,2.465398842722401,0.0861395882886,0.8306865796934879
angola,LMI,2.7817892459929623,0.48,12.949999999999998,70.71501409999999,2.0,2.735270917428066,2.5930020273014587,2.5667429443605774,2.2468644363002506,0.0451996527645599,0.810697376704218
anguilla,HIC,2.3595484960107815,2.1,11.949999999999998,1.8690227,2.0,2.4272838971049815,2.2196244896441373,1.656012669475698,1.668681436936068,0.0097093124656499,0.6710377524566364
aruba,HIC,2.5521262477302975,2.1,11.949999999999998,0.9411128,2.0,2.608325432163101,2.4381542499851636,1.9153122150601471,2.020391358387685,0.0073807225715999,0.7306950019242653
bahamas,HIC,2.6203160769666605,3.25,11.949999999999998,0.7561222000000001,2.0,2.702616718709539,2.5489987058173513,2.0681978444872966,2.1840980534360863,0.01070408959425,0.7573281840640294
bahrain,HIC,2.6754736273959834,1.1,11.949999999999998,10.2647015,2.0,2.6820165794858735,2.5249367366126663,2.323733411705073,2.149268777694599,0.0161219501217499,0.7771515095257957
bermuda,HIC,2.4941930011568347,2.1,11.949999999999998,2.22e-14,2.0,2.553646081802088,2.3729967939383254,0.2945932567434253,1.9199161572438417,0.005019,0.7008956052733901
bosnia and herzegovina,UMI,2.658885391542682,1.2,11.949999999999998,40.266322100000004,2.0,2.6715718484163458,2.5127046844406893,2.4361206464161245,2.131419049834937,0.0606099058913999,0.7923118514947711
british virgin islands,HIC,2.4246310489895797,2.1,11.949999999999998,0.0415284,2.0,2.4882327714830166,2.2941152485622545,0.8792756123606146,1.7934570114816313,0.0051232155197999,0.6738281995505524
bulgaria,UMI,2.69585635274986,1.28,11.949999999999998,31.474274,2.0,2.7123783405154733,2.5603719450256808,2.4667973404652854,2.2004334289043705,0.0512022495104,0.79696280512378
cape verde,LMI,2.650837246025909,0.5,12.949999999999998,73.7316557,2.0,2.6006690345234635,2.436127744211665,2.4091024800863545,2.017316778063166,0.0490362470657499,0.7879999677480972
cayman islands,HIC,2.472867761294654,2.1,11.949999999999998,0.00112,2.0,2.533564004588216,2.348891742826037,0.2945932567434253,1.8818575897346468,0.00502181064,0.6928194346956575
channel islands,HIC,2.560361752973041,2.1,11.949999999999998,9.17e-09,2.0,2.6161126494285125,2.447379190493491,0.2945932567434253,2.0343480743492517,0.0050190000230121,0.7238796764004518
colombia,UMI,2.8231762044025004,1.2,11.95,21.4847023,2.0,2.8339509324460237,2.7005626081991694,2.5915373518809273,2.39572274199204,0.0336770630982,0.8147123414820425
congo rep of,LMI,2.684468285519155,0.53,12.949999999999998,76.9374119,2.0,2.64016616089101,2.482526553723046,2.4603834007259824,2.086949724022517,0.0541786926575649,0.7955848546856927
cook islands,UMI,2.3932643555843733,1.2,11.949999999999998,35.9520179,2.0,2.409778143200235,2.1980404247235414,2.077558986009005,1.6314945242321335,0.0544231936685999,0.7333285104036144
cote d'ivoire,LMI,2.812108707093491,0.79,12.949999999999998,81.62402180000001,2.0,2.7978457081928427,2.6648075919860337,2.6505721414010344,2.346911898534972,0.0855515555024899,0.821965885853646
croatia,HIC,2.727019281830192,2.1,11.95,9.2121836,2.0,2.7744113770178096,2.6322306774347664,2.444096250573801,2.3018699535379628,0.0281369747442,0.7953555623428074
curacao,HIC,2.555370892177588,2.1,11.949999999999998,0.0321997,2.0,2.6113930425226215,2.4417898021749043,1.2627594037672885,2.0258993565594756,0.0050998051471499,0.7226548555945769
cyprus,HIC,2.6838818209090047,2.07,11.949999999999998,0.3998812,2.0,2.7323764401551003,2.5836150918107124,2.0443806014210057,2.233572149263475,0.00593646613038,0.7629243771175834
dhekelia,HIC,2.366637216194522,2.1,11.949999999999998,0.05767049999999999,2.0,2.4339101241856227,2.227771910111949,0.7818231159873686,1.6825958421921279,0.00516372411975,0.6475191668695531
djibouti,LMI,2.663072731752885,0.79,12.949999999999998,72.6185435,2.0,2.6464983913934086,2.489935873793706,2.463049407175922,2.097925866135955,0.076338500927675,0.7959926566139749
dominica,UMI,2.498006657638399,1.24,11.949999999999998,18.6436527,2.0,2.5155443913273183,2.327179036757987,2.1482378608485764,1.8471419590255684,0.0305897645708599,0.7470387442526788
dominican republic,UMI,2.828709739273219,1.2,11.95,25.436823699999998,2.0,2.839425327180552,2.7068157218343507,2.6109902813846473,2.4041947290830206,0.0393444051857999,0.8171959111503458
east timor,LMI,2.6681420650799628,0.79,12.949999999999998,80.85205789999999,2.0,2.6516522256671955,2.4959604942176017,2.478287817003087,2.106822597828369,0.0847617978345949,0.7981720032522324
ecuador,LMI,2.8137196413109686,1.13,12.949999999999998,29.9981094,2.0,2.821023693532079,2.6912403947097,2.6060859129329264,2.3830575234347116,0.0468244333904899,0.8164276777703724
egypt,LMI,2.8845307164487815,1.37,12.949999999999998,66.6547727,2.0,2.901969710008964,2.782904349731376,2.757491636839068,2.505843761114434,0.1218038649857049,0.8357527358707315
el salvador,LMI,2.81381962748479,1.13,12.949999999999998,32.6752471,2.0,2.8211229521001675,2.691353407809218,2.612498988095662,2.3832113174190366,0.0507420228437849,0.8172379430512047
equatorial guinea,UMI,2.6225106342089033,1.2,11.949999999999998,30.4777225,2.0,2.6356639623444145,2.470482446632086,2.364622644490356,2.0690250122887184,0.0465730540649999,0.7817569337937624
estonia,HIC,2.6868556366999616,1.47,11.949999999999998,8.6202755,2.0,2.712751729303791,2.560806616377322,2.350924808267992,2.2010561608580557,0.0186561069570749,0.7817616608871196
faroe islands,HIC,2.4707077484303634,2.1,11.949999999999998,9.17e-09,2.0,2.531531305460875,2.346446426474814,0.2945932567434253,1.877968697939652,0.0050190000230121,0.69196051618074
french guiana,UMI,2.56721804201817,1.2,11.949999999999998,24.9009688,2.0,2.581113922700983,2.405813356664935,2.2718481806343713,1.9709452692392082,0.0385759892591999,0.7673469624251111
french polynesia,HIC,2.6033166893246893,2.1,11.949999999999998,3.1874998000000003,2.0,2.6567851600504206,2.4953499839623534,2.161078032287193,2.105922179620242,0.0130180307480999,0.7566649332371205
gabon,UMI,2.685626808619669,0.45,11.949999999999998,33.965529700000005,2.0,2.6296479043875634,2.463382146539163,2.366937709136093,2.0584092865157664,0.019340463596175,0.7820207878994975
gibraltar,HIC,2.4352631333978554,2.1,11.949999999999998,0.1123642,2.0,2.4982131158479066,2.3062195371658656,1.2077014010407956,1.8132276191578085,0.0053009779599,0.6795873169342518
greenland,HIC,2.4808999956114355,2.1,11.949999999999998,7.3899999999999995e-09,2.0,2.541125069297095,2.3579788415594884,0.2945932567434253,1.896263542251388,0.0050190000185452,0.6958929843488839
grenada,UMI,2.5235962521318784,2.71,11.949999999999998,17.782894799999998,2.0,2.60048841756377,2.4288568810556046,2.263752815498583,2.006259745733937,0.0640659156650599,0.766527795668947
guadeloupe,UMI,2.642786027801101,1.2,11.949999999999998,24.9009688,2.0,2.655677054921423,2.4940476335041364,2.372108946649389,2.1040005356202407,0.0385759892591999,0.7830983898527415
guam,HIC,2.5771084769631156,2.1,11.949999999999998,0.24715050000000002,2.0,2.631958481385087,2.4661100561169644,1.7547519019985582,2.0624921201302686,0.00563922417975,0.732000950576982
guernsey,HIC,2.479749388821293,2.1,11.949999999999998,9.17e-09,2.0,2.540041738915343,2.356677711472091,0.2945932567434253,1.8942052265770764,0.0050190000230121,0.6954533237873145
honduras,LMI,2.773633367417211,1.45,12.949999999999998,39.9780198,2.0,2.7965668430087085,2.663346621578325,2.5972955732239855,2.3449037917518147,0.0788242266794499,0.8150849445767834
iran,UMI,2.8346095197923926,1.2,11.949999999999998,49.9439866,2.0,2.8452624088716365,2.713477769831476,2.666350568897222,2.4132002262577674,0.0744876767843999,0.8241772958140695
iraq,LMI,2.6650047672394956,0.79,12.949999999999998,63.1997012,2.0,2.6484626834200524,2.492232668622722,2.453534081007671,2.1013205679534135,0.0667025543126599,0.7946517501812441
isle of man,HIC,2.510001924166975,2.1,11.949999999999998,9.17e-09,2.0,2.5685493798249808,2.3908238676645897,0.2945932567434253,1.9477465929937903,0.0050190000230121,0.7066674198071509
jersey,HIC,2.5183752856401993,2.1,11.949999999999998,9.17e-09,2.0,2.5764485011308844,2.4002517407267567,0.2945932567434253,1.9623589749224253,0.0050190000230121,0.7096496968524536
jordan,UMI,2.4784029222406203,1.2,11.95,57.91241,2.0,2.493579519733929,2.300603029290804,2.244325694759535,1.8040708810195687,0.0859143959399999,0.7620945096991151
kiribati,LMI,2.522220748533205,0.79,12.949999999999998,84.29105489999999,2.0,2.503115573258967,2.3200835236774155,2.3031498426662425,1.8357056945081986,0.0882800637154449,0.7715087615109726
latvia,UMI,2.7196254679673766,1.03,11.949999999999998,13.984971600000002,2.0,2.7215714801727264,2.5710662007657508,2.408080559344392,2.215721080055521,0.01967510229386,0.7892826056078628
libya,UMI,2.78589105819954,1.2,11.949999999999998,22.897282999999998,2.0,2.7970728256588893,2.6583096244489566,2.549288696463813,2.33797200241318,0.0357027038219999,0.8088859507942993
lithuania,UMI,2.6392961101735217,1.1,11.949999999999998,14.333475400000001,2.0,2.6460792823238535,2.4827567975291096,2.3057560061400975,2.0872913851325627,0.0214703534133,0.773620135550532
malaysia,UMI,2.8873796050198104,1.52,12.949999999999998,54.963718500000006,2.0,2.910442980089287,2.79244391310535,2.755083976726239,2.5184095835756954,0.1121273834954,0.8355004506157369
malta,HIC,2.632674222175629,1.78,11.949999999999998,6.337683800000001,2.0,2.6732885127142705,2.5147166098474987,2.2622441850993136,2.134361774939804,0.01773508721098,0.7690732481057369
martinique,HIC,2.6322376248283756,2.1,11.949999999999998,0.0321997,2.0,2.6842208571365775,2.5275154318629087,1.5066691132151866,2.153019213852466,0.0050998051471499,0.7461232689819172
micronesia,LMI,2.561135108064389,0.79,12.949999999999998,80.8898832,2.0,2.5427657715690777,2.3675081450894226,2.3474344168626895,1.9112940525646018,0.0848004950077599,0.7785239053258323
monaco,HIC,2.4367325802689557,2.1,11.949999999999998,2.22e-14,2.0,2.499592995624049,2.3078910685198992,0.2945932567434253,1.8159471038275459,0.005019,0.6782026186453697
montenegro,UMI,2.600445110830582,1.2,11.949999999999998,30.410413899999998,2.0,2.613889923591783,2.444747440676252,2.335760071156895,2.0303729363669865,0.0464765335326,0.7772915928005006
montserrat,UMI,2.256687883281996,1.2,11.949999999999998,11.998385,2.0,2.2755931363715463,2.0295207088159914,1.7047235949448318,1.3757071467711843,0.0200736840899999,0.6584857579248936
namibia,UMI,2.561229264386919,1.2,11.949999999999998,65.5146914,2.0,2.575208027277763,2.398772142664878,2.3596058351270592,1.9600705024324974,0.0968160674675999,0.780497790633971
nauru,UMI,2.364146151409597,1.2,11.949999999999998,67.17277419999999,2.0,2.3811434646892122,2.1625442802227037,2.1157190047077874,1.5693027635948076,0.0991937582027999,0.7397412332020749
netherlands antilles,HIC,2.590274888421763,2.1,11.949999999999998,3.3499999999999997e-07,2.0,2.6444265570258856,2.4808105960116626,0.2945932567434253,2.0844022216784346,0.0050190008406824,0.7333456532845095
new caledonia,HIC,2.5997480726994215,2.1,11.949999999999998,1.14e-08,2.0,2.6534026483694886,2.4913737421250035,0.2945932567434253,2.1000514878274497,0.0050190000286083,0.7362371504729293
nicaragua,LMI,2.7765374908784626,1.1,12.949999999999998,44.6182311,2.0,2.782453366158614,2.647205664106124,2.5883291068098053,2.322644400523187,0.06640767020195,0.813818325374081
nigeria,LMI,2.8975053621071507,0.79,12.95,80.9889197,2.0,2.88441749069623,2.7631106689118177,2.7497172655582496,2.4796480119570923,0.084901814299085,0.8347363963710227
northern mariana islands,HIC,2.5316006476596766,2.1,11.949999999999998,0.24715050000000002,2.0,2.5889324037005292,2.415122616720592,1.6492809204136767,1.9852620833810146,0.00563922417975,0.7174030691096447
oman,HIC,2.7581145972767183,0.7,11.949999999999998,3.8733626,2.0,2.7352377259273997,2.5869345417888745,2.306381811591685,2.2382785224896455,0.0049130678149,0.7780931751084841
pakistan,LMI,2.861932000566754,0.79,12.95,86.2432553,2.0,2.848366940905332,2.7223145857407958,2.7125401641781384,2.425113202884214,0.090277262334665,0.8300089699870467
palau,UMI,2.4035608145302536,1.2,11.949999999999998,56.373422500000004,2.0,2.419906891849045,2.2105394526206634,2.145661413365776,1.6530866421187567,0.083707487865,0.7452116383857958
panama,UMI,2.7722149989099742,1.21,11.949999999999998,18.0509523,2.0,2.7840627586277606,2.6433484535923997,2.513513764274658,2.3173048331450605,0.0289926744781849,0.8041392431745481
papua new guinea,LMI,2.761667263682285,0.79,12.949999999999998,85.5623424,2.0,2.746660804329021,2.606121854516732,2.594544720835235,2.2653571727400705,0.08958065439232,0.8144520154046444
peru,UMI,2.8586336079545984,1.2,11.95,24.9883628,2.0,2.869034931683413,2.740553984397321,2.646799324636039,2.4495876145126814,0.0387013122551999,0.8219608313627552
portugal,HIC,2.830651937838885,2.21,11.949999999999998,2.93e-07,2.0,2.876357586782913,2.7488764035480426,0.2945932567434253,2.4607048471331607,0.0052819007737983,0.7953113098195312
puerto rico,HIC,2.7888553264220066,2.1,11.949999999999998,2.243121,2.0,2.833468089978268,2.700010848621139,2.4053792006278503,2.3949742916563994,0.0106481121494999,0.7953985714110635
qatar,HIC,2.6664879784676607,1.33,11.949999999999998,0.00018899999999999999,2.0,2.686112876027976,2.529728059795439,0.2945932567434253,2.156233795797919,0.00317900038715,0.7463662206616001
reunion,UMI,2.681301069701433,1.2,11.949999999999998,9.44e-06,2.0,2.6937080571402925,2.5386031627212335,0.2945932567434253,2.169096094069253,0.0028680135369599,0.7486290086708363
russia,UMI,2.8446894145504396,0.93,11.949999999999998,16.4129,2.0,2.8404603304422187,2.70799740530348,2.579618904436242,2.4057936217247122,0.020463176415,0.8133647279678072
saint helena,UMI,2.285494172777504,1.2,11.949999999999998,24.9009688,2.0,2.303868289409457,2.0655072332501803,1.872125586314222,1.3927690254799665,0.0385759892591999,0.6932396381805594
"saint maarten, dwi",HIC,2.4449720913189683,2.1,11.949999999999998,0.0321997,2.0,2.5073325612988153,2.317257522505817,0.8722927449960507,1.8311381217434273,0.00509980514715,0.682205213703258
saint pierre,HIC,2.2701488275665445,2.1,11.949999999999998,0.0321997,2.0,2.3439851485592906,2.1161165466764307,0.3287187863407134,1.486009814428203,0.00509980514715,0.6263161705727219
saint vincent and the grenadines,UMI,2.5413260688783867,1.7,12.949999999999998,21.2494196,2.0,2.5822693478811507,2.4144018838878387,2.2653378542559,1.9841561130430658,0.0511835972493999,0.7665047618385717
samoa,LMI,2.5673982033828264,0.79,12.949999999999998,79.6294546,2.0,2.5491445989479566,2.3751038277767154,2.353692403820631,1.9232193343916322,0.0835110135285299,0.7795036988540714
sao tome and principe,LMI,2.5654139564537073,0.79,12.949999999999998,81.10841640000001,2.0,2.5471237660542916,2.372698487440596,2.3529861967548196,1.9194482028184243,0.08502406539802,0.7793873506589116
saudi arabia,HIC,2.7784856401933125,1.3,11.949999999999998,8.086381099999999,2.0,2.7946555504898214,2.6555320371426827,2.4610909412655544,2.3341439384212403,0.0156691930388499,0.798090884209475
senegal,LMI,2.8279326115622827,0.79,12.95,81.97151649999999,2.0,2.813895111158172,2.683119908565079,2.6694389844431736,2.3719902950639242,0.085907059955325,0.8244435641146767
seychelles,UMI,2.519516180137612,2.98,11.949999999999998,36.8984876,2.0,2.6037632529694075,2.4327436000372917,2.3411461692133124,2.012175438114131,0.1385214041923599,0.7779675726132919
singapore,HIC,2.7922638159549518,1.49,12.949999999999998,0.0453822,2.0,2.816407910569642,2.685983269974089,1.942669693651082,2.375896422515325,0.0039466672240099,0.7828970894109367
