City,Region,Country,AirQuality,WaterPollution,AirQuality_norm,WaterPollution_norm,AirQuality_log,WaterPollution_log,EnvScore
New York City,New York,united states of america,46.81603774,49.5049505,0.4681603774,0.495049505,3.867361100797198,3.922071361179687,-2.688912760000001
"Washington, D.C.",District of Columbia,united states of america,66.12903226,49.10714286,0.6612903226000001,0.4910714286,4.206616621937321,3.914163569984278,17.0218894
San Francisco,California,united states of america,60.51401869,43.0,0.6051401869,0.43,4.119265095015551,3.784189633918261,17.51401869
Los Angeles,California,united states of america,36.62162162,61.29943503,0.3662162162,0.6129943503,3.627578928207037,4.131952357212962,-24.67781341
Bern,Canton of Bern,switzerland,94.31818182,12.5,0.9431818182000001,0.125,4.557220577562679,2.6026896854443837,81.81818182
Geneva,Canton of Geneva,switzerland,71.53846154,17.37288136,0.7153846154,0.1737288136,4.284116925193129,2.910875738315274,54.16558018
Zurich,Canton of Zurich,switzerland,83.80952381,10.71428571,0.8380952381000001,0.1071428571,4.440407845571854,2.4608090978430863,73.0952381
London,England,united kingdom,37.04225352,40.71637427,0.3704225352,0.40716374270000005,3.6386974767216818,3.7308937200760406,-3.67412075
Cairo,Cairo Governorate,egypt,15.830721,74.35064935,0.15830721,0.7435064935,2.8232058474514705,4.3221525428190475,-58.51992835
Alexandria,Alexandria Governorate,egypt,41.03773585,71.2962963,0.41037735849999996,0.712962963,3.7385676875174942,4.2807729010199385,-30.258560449999997
Alexandria,Virginia,united states of america,89.0625,46.15384615,0.890625,0.4615384615,4.500503873759741,3.8534155783931086,42.90865385
Paris,Ile-de-France,france,34.02439024,43.12169312,0.3402439024,0.43121693120000004,3.5560446827924412,3.786951568988969,-9.09730288
Boston,Massachusetts,united states of america,78.23529412,32.91139241,0.7823529412000001,0.3291139241,4.372421832383844,3.523751017223164,45.32390171000001
Toronto,Ontario,canada,65.53468208,37.7994012,0.6553468208,0.377994012,4.197723346747272,3.658404813520447,27.735280879999998
Sao Paulo,Sao Paulo,brazil,24.05660377,73.71794872,0.24056603769999998,0.7371794871999999,3.221137416341185,4.313720340652957,-49.66134495
Poznan,Greater Poland Voivodeship,poland,33.07692308,50.42372881,0.33076923080000004,0.5042372881,3.5286204126738925,3.9400997159335427,-17.34680573
Warsaw,Masovian Voivodeship,poland,27.27272727,36.01485149,0.2727272727,0.3601485149,3.3418976392844004,3.6113192237297795,-8.742124219999997
Modena,Emilia-Romagna,italy,39.0625,50.0,0.390625,0.5,3.6904407346808887,3.9318256327243257,-10.9375
Montreal,Quebec,canada,70.76023392,36.96319018,0.7076023392,0.3696319018,4.273330477499965,3.636617010779536,33.79704374000001
Cambridge,England,united kingdom,69.82758621,30.55555556,0.6982758621,0.3055555556,4.260248560545847,3.451749660965832,39.272030650000005
Cologne,North Rhine-Westphalia,germany,60.71428571,27.77777778,0.6071428571,0.2777777778,4.122515439119352,3.3596034844405387,32.93650793
Skopje,Greater Skopje,north macedonia,10.19417476,45.26315789,0.1019417476,0.45263157890000005,2.415393532282268,3.8343459184163473,-35.06898313000001
Gdynia,Pomeranian Voivodeship,poland,49.41860465,48.61111111,0.4941860465,0.48611111110000005,3.9203602468429115,3.904214822957938,0.8074935399999958
Szczecin,West Pomeranian Voivodeship,poland,41.37931034,53.75,0.41379310340000003,0.5375,3.746660279465647,4.00277736869661,-12.370689659999996
Ljubljana,Ljubljana City Municipality,slovenia,72.16494845,17.58241758,0.7216494845,0.1758241758,4.292716459972284,2.92221584225163,54.58253087
Plovdiv,Plovdiv region,bulgaria,31.41025641,36.29032258,0.3141025641,0.3629032258,3.478474928569245,3.6187338447298756,-4.880066170000003
Sofia,Sofia City Province,bulgaria,23.62132353,40.94339623,0.23621323530000002,0.4094339623,3.2036128776379442,3.736321000497545,-17.322072699999996
Milan,Lombardy,italy,24.39759036,39.49044586,0.2439759036,0.3949044586,3.234654301807729,3.701066041591247,-15.092855500000002
Trieste,Friuli-Venezia Giulia,italy,58.87096774,29.0,0.5887096774,0.29,4.092191708828672,3.4011973816621555,29.870967739999998
