STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period,PRICE_BASE,Price base
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,7437.656,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,CRI,Costa Rica,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,3412,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,CZE,Czechia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2017,,5176.513,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,GRC,Greece,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,5334.857,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,IRL,Ireland,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,2619.02,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,IRL,Ireland,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,3210.22,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,LUX,Luxembourg,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,474.0908,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,NOR,Norway,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,3946.17,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,NOR,Norway,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,3904.995,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,PRT,Portugal,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,4768.813,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,SWE,Sweden,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,4459.807,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,SWE,Sweden,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,4513.17,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,33763,,B,Time series break,E,Estimated value,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,USA,United States,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2018,,265224.5,,B,Time series break,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,BEL,Belgium,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,8294.64,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,CZE,Czechia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,5840.29,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,DNK,Denmark,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,4511.357,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,DEU,Germany,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2019,,50611.79,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,DEU,Germany,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,52470.66,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,GRC,Greece,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,5440.27,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,IRL,Ireland,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,3134.84,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ITA,Italy,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,28840.41,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,LVA,Latvia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2023,,871.612,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,LUX,Luxembourg,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2019,,490.7043,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,LUX,Luxembourg,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,461.1434,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
