Entity,Code,Year,Open dumps,Open burning,Controlled landfills,Sanitary landfills,Incinerated,Composted,Recycled
Afghanistan,AFG,2020,57.664207,36.685463,0,0,0,4.2143216,1.4360082
Albania,ALB,2020,55.454403,21.11593,0,0,8.270926,3.6382716,11.520468
Algeria,DZA,2020,2,2,5.84,81.88,0,0.92,7.36
American Samoa,ASM,2020,16.971193,2.7552247,33.942387,14.215969,21.348042,2.4022398,8.364945
Andorra,AND,2020,11.975,11.975,23.95,0,52.1,0,0
Angola,AGO,2020,54.05048,44.416702,0,0,0,0,1.5328177
Anguilla,AIA,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Antigua and Barbuda,ATG,2020,0.65319103,0.65319103,98.61473,0,0,0.078888,0
Argentina,ARG,2020,22.842161,2.5225,13.04699,56.193752,0,0,5.3946004
Armenia,ARM,2020,85,5,10,0,0,0,0
Aruba,ABW,2020,22.445189,22.445189,44.890377,0,0,0,10.219251
Australia,AUS,2020,0,0,0,48.6487,9.6723,0,41.678997
Austria,AUT,2020,0,0,0,5.2,37.9,31.24,25.66
Azerbaijan,AZE,2020,67,11,22,0,0,0,0
Bahamas,BHS,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Bahrain,BHR,2020,23,0,46,23,0,0,8
Bangladesh,BGD,2020,48.635,48.635,0,0,0,2.73,0
Barbados,BRB,2020,2.725,2.725,86.45,0,0,0,8.1
Belarus,BLR,2020,7.1,0,76.9,0,0,0,16
Belgium,BEL,2020,0,0,0,3.17,43.39,19.137,34.303
Belize,BLZ,2020,63.632,7.4,0,28.967999,0,0,0
Benin,BEN,2020,47.125,47.125,0,0,0,0,5.75
Bermuda,BMU,2020,0,0,12.1,0,67.6,18.3,2
Bhutan,BTN,2020,1.5,1.5,94.885,0,0,1.3066,0.80840003
Bolivia,BOL,2020,42.57952,10.6,21.223042,18.39168,0,0.2304,6.9753594
Bosnia and Herzegovina,BIH,2020,42.124805,11.233981,28.794107,17.846388,0,0,0.000717703
Botswana,BWA,2020,24.941,24.941,49.882,0,0,0,0.236
Brazil,BRA,2020,18.167858,3.9074175,27.796032,48.667896,0,0.1826,1.2782
British Virgin Islands,VGB,2020,0,0,0,21.9484,78.0516,0,0
Brunei,BRN,2020,7.908579,7.908579,15.817158,66.46664,0,1.8990468,0
Bulgaria,BGR,2020,17.111425,0.83786,34.22285,16.273565,2.7032502,10.14456,18.706491
Burkina Faso,BFA,2020,61.046402,34.811203,0,0,0,0,4.1424003
Burundi,BDI,2020,58.83529,39.288666,0,0,0,0.7013025,1.1747417
Cambodia,KHM,2020,50,50,0,0,0,0,0
Cameroon,CMR,2020,68.6648,19.2,0,11.8888,0,0,0.2464
Canada,CAN,2020,0,0,0,72.606705,2.97,4.0392,20.3841
Cape Verde,CPV,2020,63.721294,31.37113,0,0,0,1.6405045,3.2670681
Cayman Islands,CYM,2020,20.122631,20.122631,40.245262,0,0,0,19.509478
Central African Republic,CAF,2020,58.83529,39.288666,0,0,0,0.7013025,1.1747417
Chad,TCD,2020,58.83529,39.288666,0,0,0,0.7013025,1.1747417
Channel Islands,OWID_CIS,2020,0,0,39.186153,0.081370294,16.42853,15.896881,28.40707
Chile,CHL,2020,10.533875,2.525375,86.038246,0,0.133,0.41799998,0.3515
China,CHN,2020,22.217602,1.5,31.2752,14.1376,28.0496,2.82,0
Christmas Island,CXR,2020,21.556334,8.545649,43.112667,13.010684,0,1.0747982,12.69987
Cocos Islands,CCK,2020,21.556334,8.545649,43.112667,13.010684,0,1.0747982,12.69987
Colombia,COL,2020,4.42,0.5,1,77.22401,0,0,16.856
Comoros,COM,2020,54.844425,44.126934,0,0,0,0.38452694,0.64411557
Congo,COG,2020,44.01512,44.01512,0,0,0,0,11.969759
Cook Islands,COK,2020,21.556334,8.545649,43.112667,13.010684,0,1.0747982,12.69987
Costa Rica,CRI,2020,10.536,2.4,26.044,59.88096,0,0,1.13904
Cote d'Ivoire,CIV,2020,49.31471,49.31471,0,0,0,0,1.370583
Croatia,HRV,2020,20.598356,1.107456,41.196712,19.4909,0,1.6521441,15.9544325
Cuba,CUB,2020,41.64116,9.1586,41.90243,0,0,0,7.29781
Curacao,CUW,2020,24.53549,24.53549,49.07098,0,0,0,1.8580455
Cyprus,CYP,2020,20.857273,3.646359,41.714546,17.210915,0,4.269804,12.301102
Czechia,CZE,2020,0,0,0,52.6,17.68,4.22,25.5
Democratic Republic of Congo,COD,2020,49.106335,49.106335,0,0,0,0,1.7873299
Denmark,DNK,2020,0,0,0,1.15,52.59,18.99,27.27
Dhekelia,,2020,15.593462,1.929436,31.186924,13.664026,9.479528,10.395168,17.751453
Djibouti,DJI,2020,70.82281,17.050543,0,0,0,4.475087,7.651558
Dominica,DMA,2020,2.91,2.91,94.18,0,0,0,0
Dominican Republic,DOM,2020,61.136017,11.048919,22.097837,0.059223667,0,0,5.658
East Timor,TLS,2020,54.803467,30.651676,0,0,0,5.493192,9.051665
Ecuador,ECU,2020,25.1458,7.099,14.198,43.1082,0,0,10.448999
Egypt,EGY,2020,69.0625,18.75,0,0,0,4.375,7.8125
El Salvador,SLV,2020,17.7504,6.8760004,13.752001,61.6216,0,0,0
Equatorial Guinea,GNQ,2020,24.184967,22.014297,48.369934,2.170669,0,0,3.2601376
Eritrea,ERI,2020,58.01085,38.957615,0,0,0,0,3.0315351
Estonia,EST,2020,0,0,6.42986,24.310122,44.63539,3.1280398,21.496586
Eswatini,SWZ,2020,24.184967,22.014297,48.369934,2.170669,0,0,3.2601376
Ethiopia,ETH,2020,60.75,39.25,0,0,0,0,0
Falkland Islands,FLK,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Faroe Islands,FRO,2020,0,0,0,33.05452,0,0,66.94548
Fiji,FJI,2020,23.763561,11.966342,47.527122,11.797217,0,0,4.9457564
Finland,FIN,2020,0,0,0,11.51,47.92,12.45,28.12
France,FRA,2020,0,0,0,25.78,34.7,17.26,22.26
French Guiana,GUF,2020,15.593462,1.929436,31.186924,13.664026,9.479528,10.395168,17.751453
French Polynesia,PYF,2020,20.0275,20.0275,40.055,0,0,0,19.89
Gabon,GAB,2020,24.184967,22.014297,48.369934,2.170669,0,0,3.2601376
Gambia,GMB,2020,58.83529,39.288666,0,0,0,0.7013025,1.1747417
Georgia,GEO,2020,23.613447,10.504338,47.226894,13.109109,1.5582618,0.9778616,3.0100884
Germany,DEU,2020,0,0,0,2.23,31.71,18.23,47.83
Ghana,GHA,2020,64.904366,29.455399,0,0,0,0,5.6402383
Gibraltar,GIB,2020,15.593462,1.929436,31.186924,13.664026,9.479528,10.395168,17.751453
Greece,GRC,2020,20.25,0.25,40.5,20,0,0,19
Greenland,GRL,2020,0,0,0,60.483055,39.516945,0,0
Grenada,GRD,2020,0.375,0.375,99.05,0,0,0.2,0
Guadeloupe,GLP,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Guam,GUM,2020,4.5375,4.5375,9.075,64,0,0,17.85
Guatemala,GTM,2020,60.8197,6.5850997,20.629398,11.965799,0,0,0
Guernsey,GGY,2020,15.593462,1.929436,31.186924,13.664026,9.479528,10.395168,17.751453
Guinea,GIN,2020,49.088097,49.088097,0,0,0,0,1.823806
Guinea-Bissau,GNB,2020,58.83529,39.288666,0,0,0,0.7013025,1.1747417
Guyana,GUY,2020,24.87985,11.225025,49.7597,13.654825,0,0,0.48060003
Haiti,HTI,2020,49.4533,49.4533,1.0934,0,0,0,0
Honduras,HND,2020,30.892,20.692,40.732002,7.684,0,0,0
Hong Kong,HKG,2020,0,0,0,66,0,0,34
Hungary,HUN,2020,53.667797,0.059981998,0,0,14.131516,6.216268,25.924437
Iceland,ISL,2020,0,0,0,39.43,1.9,2.86,55.81
India,IND,2020,64.04,24,0,0,0,9.36,2.6
Indonesia,IDN,2020,29.6,7.8,43.2,13.8,0,0,5.6
Iran,IRN,2020,72.075,0.075,10.15,0,0.4,12.3,5
Iraq,IRQ,2020,82,6,12,0,0,0,0
Ireland,IRL,2020,0,0,37.7364,10.7212,15.6468,5.5224,30.3732
Isle of Man,IMN,2020,0,0,0,28,24,0,48
Israel,ISR,2020,18.75,0,37.5,18.75,0,0,25
Italy,ITA,2020,0,0,0,37.5,19,17.6,25.9
Jamaica,JAM,2020,25.68,25.68,48.64,0,0,0,0
Japan,JPN,2020,0,0,1.1,13.3,80.2,0.5,4.9
Jersey,JEY,2020,15.593462,1.929436,31.186924,13.664026,9.479528,10.395168,17.751453
Jordan,JOR,2020,55.4,1.25,25.3,11.4,0,0,6.65
Kazakhstan,KAZ,2020,59.145653,12.8686495,25.737299,0,0,0,2.2484
Kenya,KEN,2020,48.4,48.4,0,0,0,0,3.2
Kiribati,KIR,2020,53.926933,34.182343,0,0,0,4.490799,7.3999248
Kosovo,OWID_KOS,2020,28.3423,15.25,56.4077,0,0,0,0
Kuwait,KWT,2020,100,0,0,0,0,0,0
Kyrgyzstan,KGZ,2020,88.63336,11.366634,0,0,0,0,0
Laos,LAO,2020,55.5,22.5,16.5,0,0,0,5.5
Latvia,LVA,2020,0,0,0,77.467445,0,4.622928,17.909628
Lebanon,LBN,2020,29,0,48,0,0,15,8
Lesotho,LSO,2020,53.50691,45.165977,0,0,0,0,1.3271148
Liberia,LBR,2020,58.83529,39.288666,0,0,0,0.7013025,1.1747417
Libya,LBY,2020,21.807981,2.4573936,43.615963,19.35059,0.34372947,6.921823,5.5025206
Liechtenstein,LIE,2020,8.85,8.85,17.7,0,0,0,64.6
Lithuania,LTU,2020,0,0,0,55.974392,11.388826,10.017035,22.61975
Luxembourg,LUX,2020,0,0,0,17.98,33.99,19.66,28.37
Macao,MAC,2020,20,20,40,0,0,0,20
Madagascar,MDG,2020,58.37,41,0,0,0,0.63,0
Malawi,MWI,2020,58.83529,39.288666,0,0,0,0.7013025,1.1747417
Malaysia,MYS,2020,70.425,2.5,0,9.5,0,0.95,16.625
Maldives,MDV,2020,23.7585,23.7585,47.517,0,2.292,2.674,0
